incident_case_id,date,clearance_code_inc_type,PGPD Reporting Area,PGPD Sector,PGPD BEAT,street_number,street_address,latitude,longitude,location
PP23091000001032,09/10/2023 12:00:00 AM,ACCIDENT,125,A,A3,6400 BLOCK,6401 NEW HAMPSHIRE AVE NB,38.9673675596714,-77.00080911815166,"(38.9673675596714,-77.00080911815166)"
PP23091100001376,09/11/2023 12:00:00 AM,ACCIDENT,704,E,E5,14500 BLOCK,14505 MARY BOWIE PKWY,38.88600289821625,-76.75409044325352,"(38.88600289821625,-76.75409044325352)"
PP23091300000566,09/13/2023 12:00:00 AM,THEFT FROM AUTO,104,A,A7,1800 BLOCK,1824 METZEROTT RD,39.00378480553627,-76.97554670274258,"(39.00378480553627,-76.97554670274258)"
PP23091400000319,09/14/2023 12:00:00 AM,"B & E, RESIDENTIAL",837,D,D1,6500 BLOCK,6505 94TH AVE,38.97524155676365,-76.8482503592968,"(38.97524155676365,-76.8482503592968)"
PP23090900000228,09/09/2023 12:00:00 AM,"ROBBERY, OTHER",504,K,K1,3500 BLOCK,3525 CHADWICK CT,38.841383561491966,-76.96570420265198,"(38.841383561491966,-76.96570420265198)"
PP23090800001595,09/08/2023 12:00:00 AM,THEFT FROM AUTO,843,D,D5,10100 BLOCK,10121 MARTIN LUTHER KING JUNIOR HWY EB,38.95555655658245,-76.82922153174877,"(38.95555655658245,-76.82922153174877)"
PP23091000002152,09/10/2023 12:00:00 AM,THEFT,769,K,K4,6400 BLOCK,6400 AUTH RD,38.81251223385334,-76.89647860825062,"(38.81251223385334,-76.89647860825062)"
PP23090900001003,09/09/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,645,W,W5,3000 BLOCK,3004 SAINT MARYS VIEW RD,38.69866731762886,-76.95389319956303,"(38.69866731762886,-76.95389319956303)"
PP23091200001146,09/12/2023 12:00:00 AM,ACCIDENT,442,K,K41,,ALLENTOWN RD NB / SUITLAND RD SB,38.8210423886776,-76.88663610816002,"(38.8210423886776,-76.88663610816002)"
PP23090900001182,09/09/2023 12:00:00 AM,"AUTO, STOLEN & RECOVERED",769,K,K4,6300 BLOCK,6307 MAXWELL DR,38.81612114608288,-76.8974628597498,"(38.81612114608288,-76.8974628597498)"
PP23091200001577,09/12/2023 12:00:00 AM,THEFT,858,E,E2,9400 BLOCK,9400 GRAND BLVD,38.89847005903721,-76.84332911670208,"(38.89847005903721,-76.84332911670208)"
PP23091300001736,09/13/2023 12:00:00 AM,ACCIDENT,114,A,A6,7300 BLOCK,7309 RIGGS RD,38.97950664162636,-76.97849944233894,"(38.97950664162636,-76.97849944233894)"
PP23091200000404,09/12/2023 12:00:00 AM,"AUTO, STOLEN",916,C,C4,9500 BLOCK,9548 MUIRKIRK RD,39.0598870664835,-76.84332911670208,"(39.0598870664835,-76.84332911670208)"
PP23090800001975,09/08/2023 12:00:00 AM,ACCIDENT,712,E,E5,17300 BLOCK,17304 CLAGETT LANDING RD,38.87583230435848,-76.7058621942997,"(38.87583230435848,-76.7058621942997)"
PP23091300001733,09/13/2023 12:00:00 AM,THEFT,307,G,G6,7300 BLOCK,7327 LANDOVER RD EB,38.92635715007782,-76.88893269002438,"(38.92635715007782,-76.88893269002438)"
PP23091000000490,09/10/2023 12:00:00 AM,"AUTO, STOLEN",504,K,K1,4200 BLOCK,4210 19TH AVE,38.83186914026737,-76.97193777561188,"(38.83186914026737,-76.97193777561188)"
PP23090900001760,09/09/2023 12:00:00 AM,ACCIDENT,512,K,J2,,WHEELER RD / ABBOTT DR,38.818417727947235,-76.9650480300188,"(38.818417727947235,-76.9650480300188)"
PP23090800000063,09/08/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,648,W,W2,,INDIAN HEAD HWY NB / BERRY RD SB,38.66520281136036,-77.01754136383533,"(38.66520281136036,-77.01754136383533)"
PP23091400000696,09/14/2023 12:00:00 AM,THEFT FROM AUTO,135,A,A2,5800 BLOCK,5815 EASTERN AVE,38.960805892944336,-76.9945755302906,"(38.960805892944336,-76.9945755302906)"
PP23091300001327,09/13/2023 12:00:00 AM,ACCIDENT,303,G,G5,,LANDOVER RD WB / 75TH AVE,38.926685228943825,-76.88696420192719,"(38.926685228943825,-76.88696420192719)"
PP23091400001660,09/14/2023 12:00:00 AM,ACCIDENT,703,E,E5,50 BLOCK,50 WATKINS PARK DR NB,38.89912623167038,-76.79017961025238,"(38.89912623167038,-76.79017961025238)"
PP23091000000549,09/10/2023 12:00:00 AM,"AUTO, STOLEN",887,D,D1,,GOOD LUCK RD EB / GREENBELT RD EB,38.99066147208214,-76.83578319847584,"(38.99066147208214,-76.83578319847584)"
PP23090800001675,09/08/2023 12:00:00 AM,THEFT FROM AUTO,225,TRU,B3,5700 BLOCK,5709 QUINTANA ST,38.96146206557751,-76.91780403256416,"(38.96146206557751,-76.91780403256416)"
PP23091300000507,09/13/2023 12:00:00 AM,THEFT,928,C,C2,11700 BLOCK,11729 BELTSVILLE DR,39.04840414226055,-76.93683286011219,"(39.04840414226055,-76.93683286011219)"
PP23091000001904,09/10/2023 12:00:00 AM,"ASSAULT, WEAPON",507,K,K3,2700 BLOCK,2751 IVERSON ST EB,38.83744655549526,-76.9506123661995,"(38.83744655549526,-76.9506123661995)"
PP23090800000472,09/08/2023 12:00:00 AM,ACCIDENT,887,D,D1,,GREENBELT RD EB / GOOD LUCK RD WB,38.99066147208214,-76.83611127734184,"(38.99066147208214,-76.83611127734184)"
PP23091100001554,09/11/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,426,H,H5,4500 BLOCK,4500 SILVER HILL RD SB,38.844336315989494,-76.93223969638348,"(38.844336315989494,-76.93223969638348)"
PP23090800001820,09/08/2023 12:00:00 AM,THEFT FROM AUTO,407,G,G7,9200 BLOCK,9201 ALAKING CT,38.87025488913059,-76.8482503592968,"(38.87025488913059,-76.8482503592968)"
PP23091200002264,09/12/2023 12:00:00 AM,"AUTO, STOLEN",719,H,H7,7800 BLOCK,7830 PENN WESTERN CT,38.83318147063255,-76.868263438344,"(38.83318147063255,-76.868263438344)"
PP23091200001568,09/12/2023 12:00:00 AM,ACCIDENT,431,K,K3,,SILVER HILL RD NB / SUITLAND PKWY SB,38.84269589185715,-76.93223969638348,"(38.84269589185715,-76.93223969638348)"
PP23090900001103,09/09/2023 12:00:00 AM,ACCIDENT,232,B,B3,5500 BLOCK,5509 KENNEDY ST,38.954572305083275,-76.92206911742687,"(38.954572305083275,-76.92206911742687)"
PP23090900001461,09/09/2023 12:00:00 AM,THEFT,202,B,B7,9900 BLOCK,9935 RHODE ISLAND AVE,39.0169081389904,-76.92042869329453,"(39.0169081389904,-76.92042869329453)"
PP23090800002147,09/08/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,272,B,B51,,ANNAPOLIS RD EB / SB CAP BELT HWY ONRP EB ANNAPOLIS RD,38.958837389945984,-76.86727920174599,"(38.958837389945984,-76.86727920174599)"
PP23090900000741,09/09/2023 12:00:00 AM,THEFT FROM AUTO,118,A,A6,2400 BLOCK,2402 CHAPMAN RD,38.981803223490715,-76.96931311488152,"(38.981803223490715,-76.96931311488152)"
PP23091200002185,09/12/2023 12:00:00 AM,"AUTO, STOLEN",125,A,A3,6400 BLOCK,6495 NEW HAMPSHIRE AVE NB,38.96769563853741,-77.0001529455185,"(38.96769563853741,-77.0001529455185)"
PP23091400001397,09/14/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,3130,G,G7,,CONGRESS PL / BRIGHTSEAT RD NB,38.89781388640404,-76.8521873652935,"(38.89781388640404,-76.8521873652935)"
PP23091400001564,09/14/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,602,J,J4,7400 BLOCK,7405 DOMINION DR,38.78790597617626,-77.0044180303812,"(38.78790597617626,-77.0044180303812)"
PP23091400000814,09/14/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,842,D,D6,,ANNAPOLIS RD EB / FORBES BLVD,38.96244631707668,-76.83315852284431,"(38.96244631707668,-76.83315852284431)"
PP23091300000483,09/13/2023 12:00:00 AM,ACCIDENT,626,W,W1,12900 BLOCK,12919 INDIAN HEAD HWY SB,38.71277488768101,-76.99096661806107,"(38.71277488768101,-76.99096661806107)"
PP23090800000462,09/08/2023 12:00:00 AM,"AUTO, STOLEN",443,K,K4,4300 BLOCK,4341 TELFAIR BLVD,38.83121298253536,-76.91353894770145,"(38.83121298253536,-76.91353894770145)"
PP23090900000386,09/09/2023 12:00:00 AM,"AUTO, STOLEN",827,D,D2,9800 BLOCK,9861 GOOD LUCK RD EB,38.986724480986595,-76.83676744997501,"(38.986724480986595,-76.83676744997501)"
PP23091400001181,09/14/2023 12:00:00 AM,"AUTO, STOLEN & RECOVERED",118,A,A6,2500 BLOCK,2516 AMHERST RD,38.97261689603329,-76.96800078451633,"(38.97261689603329,-76.96800078451633)"
PP23090900000681,09/09/2023 12:00:00 AM,"AUTO, STOLEN",741,F,F5,7500 BLOCK,7503 SURRATTS RD,38.748535975813866,-76.87580935657024,"(38.748535975813866,-76.87580935657024)"
PP23091200000315,09/12/2023 12:00:00 AM,THEFT FROM AUTO,321,G,G1,100 BLOCK,117 GRAY ST,38.88928373157978,-76.89090119302273,"(38.88928373157978,-76.89090119302273)"
PP23091000001622,09/10/2023 12:00:00 AM,THEFT,842,D,D6,4900 BLOCK,4905 VISTA GREEN LN,38.95654080808163,-76.8282372802496,"(38.95654080808163,-76.8282372802496)"
PP23091400001577,09/14/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,648,W,W2,,INDIAN HEAD HWY NB / BERRY RD SB,38.66520281136036,-77.01754136383533,"(38.66520281136036,-77.01754136383533)"
PP23090900001142,09/09/2023 12:00:00 AM,THEFT FROM AUTO,407,G,G7,8800 BLOCK,8811 HAMPTON MALL DR N,38.888955637812614,-76.8521873652935,"(38.888955637812614,-76.8521873652935)"
PP23091000001906,09/10/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,428,K,K4,4500 BLOCK,4591 ALLENTOWN RD,38.82760405540466,-76.87679360806942,"(38.82760405540466,-76.87679360806942)"
PP23090900000141,09/09/2023 12:00:00 AM,"B & E, COMMERCIAL",524,J,J1,5200 BLOCK,5209 INDIAN HEAD HWY SB,38.817761555314064,-77.00343377888203,"(38.817761555314064,-77.00343377888203)"
PP23091300002264,09/13/2023 12:00:00 AM,"ROBBERY, OTHER",201,B,B7,9700 BLOCK,9723 BALTIMORE AVE NB,39.01493965089321,-76.92764653265476,"(39.01493965089321,-76.92764653265476)"
PP23090800002459,09/08/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,108,A,A6,8900 BLOCK,8901 RIGGS RD,39.00050397217274,-76.97226586937904,"(39.00050397217274,-76.97226586937904)"
PP23090800000832,09/08/2023 12:00:00 AM,"AUTO, STOLEN",441,H,H2,5800 BLOCK,5820 SILVER HILL RD SB,38.856147304177284,-76.9073053598404,"(38.856147304177284,-76.9073053598404)"
PP23091200000380,09/12/2023 12:00:00 AM,THEFT,502,K,K2,3100 BLOCK,3107 GOOD HOPE AVE,38.84892947971821,-76.9568459391594,"(38.84892947971821,-76.9568459391594)"
PP23091200001660,09/12/2023 12:00:00 AM,"AUTO, STOLEN",332,G,G5,3400 BLOCK,3417 DODGE PARK RD,38.93062222003937,-76.88073061406612,"(38.93062222003937,-76.88073061406612)"
PP23090800000850,09/08/2023 12:00:00 AM,ASSAULT,226,B,B5,6800 BLOCK,6806 RIVERDALE RD WB,38.96474289894104,-76.89811903238297,"(38.96474289894104,-76.89811903238297)"
PP23091400001694,09/14/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,870,E,E1,2700 BLOCK,2705 CHURCH RD,38.92570097744465,-76.76065210998058,"(38.92570097744465,-76.76065210998058)"
PP23090900000504,09/09/2023 12:00:00 AM,THEFT FROM AUTO,858,E,E2,9100 BLOCK,9100 BASIL CT,38.915530398488045,-76.84857845306396,"(38.915530398488045,-76.84857845306396)"
PP23091100002008,09/11/2023 12:00:00 AM,ACCIDENT,158,B,B7,9100 BLOCK,9122 BALTIMORE AVE SB,39.004769057035446,-76.93059927225113,"(39.004769057035446,-76.93059927225113)"
PP23091000001635,09/10/2023 12:00:00 AM,THEFT FROM AUTO,432,K,K4,5000 BLOCK,5001 MERCEDES BLVD,38.82071430981159,-76.91616360843182,"(38.82071430981159,-76.91616360843182)"
PP23091000000643,09/10/2023 12:00:00 AM,THEFT FROM AUTO,158,B,B7,9000 BLOCK,9020 BALTIMORE AVE SB,38.99951972067356,-76.93191161751747,"(38.99951972067356,-76.93191161751747)"
PP23090800000819,09/08/2023 12:00:00 AM,THEFT FROM AUTO,507,K,K3,3700 BLOCK,3737 BRANCH AVE SB,38.838758900761604,-76.94765961170197,"(38.838758900761604,-76.94765961170197)"
PP23091000000617,09/10/2023 12:00:00 AM,ACCIDENT,313,G,G4,,SEAT PLEASANT DR / HILL RD,38.90207897126675,-76.88663610816002,"(38.90207897126675,-76.88663610816002)"
PP23091100001741,09/11/2023 12:00:00 AM,ACCIDENT,516,J,J1,600 BLOCK,645 AUDREY LN,38.81940197944641,-76.99720019102097,"(38.81940197944641,-76.99720019102097)"
PP23091200000371,09/12/2023 12:00:00 AM,"AUTO, STOLEN",645,W,W5,2900 BLOCK,2902 BRENTLAND CT,38.70063580572605,-76.95815828442574,"(38.70063580572605,-76.95815828442574)"
PP23091400000888,09/14/2023 12:00:00 AM,ACCIDENT,407,G,G7,,CENTRAL AVE EB / HAMPTON PARK BLVD,38.89059606194496,-76.85349969565868,"(38.89059606194496,-76.85349969565868)"
PP23091000000933,09/10/2023 12:00:00 AM,THEFT FROM AUTO,701,E,E3,10200 BLOCK,10241 PRINCE PL,38.89158031344414,-76.83020578324795,"(38.89158031344414,-76.83020578324795)"
PP23090800000590,09/08/2023 12:00:00 AM,THEFT FROM AUTO,113,A,A3,1700 BLOCK,1704 HANNON ST,38.983115553855896,-76.98145219683647,"(38.983115553855896,-76.98145219683647)"
PP23090900001850,09/09/2023 12:00:00 AM,"AUTO, STOLEN",618,F,F1,6300 BLOCK,6300 KIRBY RD,38.78659364581108,-76.89943136274815,"(38.78659364581108,-76.89943136274815)"
PP23090700001836,09/07/2023 12:00:00 AM,"ASSAULT, WEAPON",243,B,B2,,55TH AVE / QUINCY ST,38.9375119805336,-76.92436569929123,"(38.9375119805336,-76.92436569929123)"
PP23090900001256,09/09/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,244,B,B4,6900 BLOCK,6913 GREENVALE PKWY,38.94801063835621,-76.89844711124897,"(38.94801063835621,-76.89844711124897)"
PP23090800000433,09/08/2023 12:00:00 AM,THEFT,753,F,F6,16300 BLOCK,16333 TANYARD RD,38.705885142087936,-76.72226636111736,"(38.705885142087936,-76.72226636111736)"
PP23091000000602,09/10/2023 12:00:00 AM,THEFT FROM AUTO,259,B,B1,5200 BLOCK,5200 TUXEDO RD,38.91848313808441,-76.92764653265476,"(38.91848313808441,-76.92764653265476)"
PP23091400001892,09/14/2023 12:00:00 AM,ACCIDENT,113,A,A3,1400 BLOCK,1401 UNIVERSITY BLVD EB,38.98574022948742,-76.984404951334,"(38.98574022948742,-76.984404951334)"
PP23091400001753,09/14/2023 12:00:00 AM,ASSAULT,114,A,A6,2200 BLOCK,2201 GUILFORD RD,38.98278747498989,-76.97587478160858,"(38.98278747498989,-76.97587478160858)"
PP23091100000659,09/11/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,905,C,C5,12500 BLOCK,12525 LAUREL BOWIE RD NB,39.06316789984703,-76.83742360770702,"(39.06316789984703,-76.83742360770702)"
PP23091300001986,09/13/2023 12:00:00 AM,ACCIDENT,524,J,J1,5100 BLOCK,5135 INDIAN HEAD HWY SB,38.81808964908123,-77.00376185774803,"(38.81808964908123,-77.00376185774803)"
PP23091200001056,09/12/2023 12:00:00 AM,THEFT,633,F,F4,9000 BLOCK,9001 WOODY TER,38.76494014263153,-76.88532377779484,"(38.76494014263153,-76.88532377779484)"
PP23091400000055,09/14/2023 12:00:00 AM,"AUTO, STOLEN",424,H,H6,6500 BLOCK,6529 HIL MAR DR,38.84302397072315,-76.89582245051861,"(38.84302397072315,-76.89582245051861)"
PP23091100000784,09/11/2023 12:00:00 AM,THEFT,206,B,B63,4300 BLOCK,4308 GUILFORD DR,38.97950664162636,-76.9410979449749,"(38.97950664162636,-76.9410979449749)"
PP23090800001608,09/08/2023 12:00:00 AM,THEFT,111,A,A6,2000 BLOCK,2012 UNIVERSITY BLVD WB,38.98377172648907,-76.97849944233894,"(38.98377172648907,-76.97849944233894)"
PP23090900001100,09/09/2023 12:00:00 AM,SEX OFFENSE,701,E,E3,10200 BLOCK,10210 PRINCE PL,38.89190839231014,-76.83053386211395,"(38.89190839231014,-76.83053386211395)"
PP23090900000310,09/09/2023 12:00:00 AM,THEFT FROM AUTO,731,F,F3,7900 BLOCK,7979 MALCOLM RD,38.78036005795002,-76.88991694152355,"(38.78036005795002,-76.88991694152355)"
PP23091300001771,09/13/2023 12:00:00 AM,THEFT,125,A,A3,800 BLOCK,834 BERKSHIRE DR,38.96179014444351,-76.99654403328896,"(38.96179014444351,-76.99654403328896)"
PP23091300002215,09/13/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,305,G,G3,,SHERIFF RD / CLAYBRICK RD,38.90667214989662,-76.90500877797604,"(38.90667214989662,-76.90500877797604)"
PP23090800000870,09/08/2023 12:00:00 AM,"B & E, COMMERCIAL",204,B,B7,5100 BLOCK,5101 BRANCHVILLE RD,38.99886356294155,-76.9217410236597,"(38.99886356294155,-76.9217410236597)"
PP23090800000650,09/08/2023 12:00:00 AM,ACCIDENT,131,A,A2,,RIGGS RD NB / SARGENT RD NB,38.96966414153576,-76.98407685756683,"(38.96966414153576,-76.98407685756683)"
PP23091200000868,09/12/2023 12:00:00 AM,"AUTO, STOLEN",903,C,C5,14300 BLOCK,14300 CHERRY LANE CT,39.08777414262295,-76.85579627752304,"(39.08777414262295,-76.85579627752304)"
PP23090800000361,09/08/2023 12:00:00 AM,THEFT FROM AUTO,125,A,A3,6400 BLOCK,6412 ELLIOT PL,38.96867989003658,-76.99687211215496,"(38.96867989003658,-76.99687211215496)"
PP23091100000930,09/11/2023 12:00:00 AM,THEFT FROM AUTO,439,K,K4,6100 BLOCK,6108 PEGGY ANN CT,38.82661980390549,-76.90107177197933,"(38.82661980390549,-76.90107177197933)"
PP23090800000564,09/08/2023 12:00:00 AM,ACCIDENT,710,E,E5,14100 BLOCK,14111 OAK GROVE RD,38.87386381626129,-76.76130828261375,"(38.87386381626129,-76.76130828261375)"
PP23090900000278,09/09/2023 12:00:00 AM,THEFT FROM AUTO,328,G,G5,3200 BLOCK,3201 REED ST,38.933574974536896,-76.8620298653841,"(38.933574974536896,-76.8620298653841)"
PP23090900000523,09/09/2023 12:00:00 AM,THEFT FROM AUTO,413,H,H7,8800 BLOCK,8843 WALKER MILL RD EB,38.87091106176376,-76.85415586829185,"(38.87091106176376,-76.85415586829185)"
PP23090800000486,09/08/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,732,F,F3,,DOWER HOUSE RD / HALLAM DR,38.80004505813122,-76.84136061370373,"(38.80004505813122,-76.84136061370373)"
PP23090900001176,09/09/2023 12:00:00 AM,"AUTO, STOLEN",844,D,D5,4600 BLOCK,4605 RUNNING DEER WAY,38.952603816986084,-76.81183311343193,"(38.952603816986084,-76.81183311343193)"
PP23090800000427,09/08/2023 12:00:00 AM,"B & E, RESIDENTIAL",924,C,C3,4500 BLOCK,4504 POWDER MILL RD,39.047419890761375,-76.91583552956581,"(39.047419890761375,-76.91583552956581)"
PP23091100000032,09/11/2023 12:00:00 AM,"ROBBERY, OTHER",113,A,A3,1400 BLOCK,1425 UNIVERSITY BLVD EB,38.98639638721943,-76.984404951334,"(38.98639638721943,-76.984404951334)"
PP23091000000494,09/10/2023 12:00:00 AM,THEFT FROM AUTO,104,A,A7,1800 BLOCK,1806 METZEROTT RD,39.00542522966862,-76.97685903310776,"(39.00542522966862,-76.97685903310776)"
PP23091400001068,09/14/2023 12:00:00 AM,"AUTO, STOLEN & RECOVERED",621,J,J6,9400 BLOCK,9405 CALTOR LN,38.76067505776882,-76.97226586937904,"(38.76067505776882,-76.97226586937904)"
PP23091000000082,09/10/2023 12:00:00 AM,ACCIDENT WITH IMPOUND,6010,J,J41,100 BLOCK,111 NORTH COVE TER,38.79085873067379,-77.01360435783863,"(38.79085873067379,-77.01360435783863)"
PP23091000001190,09/10/2023 12:00:00 AM,"AUTO, STOLEN",928,C,C2,3300 BLOCK,3310 MAJOR DENTON DR,39.04381097853184,-76.94995619356632,"(39.04381097853184,-76.94995619356632)"
PP23091000001055,09/10/2023 12:00:00 AM,"ROBBERY, OTHER",307,G,G6,7500 BLOCK,7501 LANDOVER RD EB,38.926029056310654,-76.88663610816002,"(38.926029056310654,-76.88663610816002)"
PP23091000001179,09/10/2023 12:00:00 AM,THEFT,114,A,A6,2000 BLOCK,2005 CHARLESTON PL,38.97655388712883,-76.97653093934059,"(38.97655388712883,-76.97653093934059)"
